idnum,timeseries_num,year,yearnum,site,site_num,latitude,longitude,site_group,species,species_code,species_num,breeding_success,n,hemisphere
1,1,1964,1,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.8,,north
2,1,1965,2,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.8,,north
3,1,1966,3,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.8,,north
4,1,1967,4,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.8,,north
5,1,1968,5,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.8,,north
6,1,1969,6,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.1,,north
7,1,1970,7,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.1,,north
8,1,1971,8,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.1,,north
9,1,1972,9,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.1,,north
10,1,1973,10,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.1,,north
11,1,1974,11,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.8,,north
12,1,1975,12,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,,north
13,1,1976,13,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.3,,north
14,1,1977,14,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,,north
15,1,1978,15,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.01,71,north
16,1,1979,16,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.01,60,north
17,1,1980,17,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,10,north
18,1,1981,18,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,12,north
19,1,1982,19,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,18,north
20,1,1983,20,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.88,142,north
21,1,1984,21,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.47,151,north
22,1,1985,22,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.77,146,north
23,1,1986,23,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,100,north
24,1,1987,24,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,14,north
25,1,1988,25,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.24,101,north
26,1,1989,26,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.88,84,north
27,1,1990,27,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.8,131,north
28,1,1991,28,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.92,164,north
29,1,1992,29,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.96,147,north
30,1,1993,30,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.51,149,north
31,1,1994,31,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.02,164,north
32,1,1995,32,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,284,north
33,1,1996,33,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.25,153,north
34,1,1997,34,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,150,north
35,1,1998,35,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.01,129,north
36,1,1999,36,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.71,121,north
37,1,2000,37,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.02,99,north
38,1,2001,38,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.84,103,north
39,1,2002,39,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.91,104,north
40,1,2003,40,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.35,90,north
41,1,2004,41,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.88,76,north
42,1,2005,42,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.08,69,north
43,1,2006,43,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.88,110,north
44,1,2007,44,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,101,north
45,1,2008,45,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,58,north
46,1,2009,46,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,74,north
47,1,2010,47,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,69,north
48,1,2011,48,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,42,north
49,1,2012,49,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,45,north
50,1,2013,50,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,34,north
51,1,2014,51,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,46,north
52,1,2015,52,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0,61,north
53,1,2016,53,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.09,54,north
54,1,2017,54,Rost,21,67.52,12.098889,NE Europe,Atlantic puffin,atpu,5,0.32,53,north
55,2,1980,17,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.31,576,north
56,2,1981,18,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.56,487,north
57,2,1982,19,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.47,462,north
58,2,1983,20,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,1.02,395,north
59,2,1984,21,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.67,373,north
60,2,1985,22,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.37,381,north
61,2,1986,23,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,,,north
62,2,1987,24,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,,,north
63,2,1988,25,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.63,408,north
64,2,1989,26,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.66,415,north
65,2,1990,27,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.57,451,north
66,2,1991,28,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.97,403,north
67,2,1992,29,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,1.28,397,north
68,2,1993,30,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,1.19,468,north
69,2,1994,31,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.52,436,north
70,2,1995,32,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.71,356,north
71,2,1996,33,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,1.03,557,north
72,2,1997,34,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.61,561,north
73,2,1998,35,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.38,521,north
74,2,1999,36,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.85,616,north
75,2,2000,37,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.6,582,north
76,2,2001,38,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.38,525,north
77,2,2002,39,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.31,484,north
78,2,2003,40,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.4,473,north
79,2,2004,41,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.13,425,north
80,2,2005,42,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.39,459,north
81,2,2006,43,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.55,462,north
82,2,2007,44,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0,379,north
83,2,2008,45,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0,345,north
84,2,2009,46,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0,333,north
85,2,2010,47,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0,278,north
86,2,2011,48,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0,198,north
87,2,2012,49,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0,190,north
88,2,2013,50,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0,122,north
89,2,2014,51,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0,118,north
90,2,2015,52,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0,92,north
91,2,2016,53,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0.04,57,north
92,2,2017,54,Rost,21,67.52,12.098889,NE Europe,black-legged kittiwake,blki,8,0,66,north
93,3,1980,17,Teuri,29,44.416667,141.3,Japan,black-tailed gull,btgu,9,0.55,104,north
94,3,1981,18,Teuri,29,44.416667,141.3,Japan,black-tailed gull,btgu,9,,,north
95,3,1982,19,Teuri,29,44.416667,141.3,Japan,black-tailed gull,btgu,9,,,north
96,3,1983,20,Teuri,29,44.416667,141.3,Japan,black-tailed gull,btgu,9,,,north
