"site","spp","duration","nYrs","slope","sig"
"Adams","Gibson's wandering albatross","1991-2018",27,-0.0068,"N.S."
"Admiralty","Adelie penguin","1977-2012",31,-0.0026,"N.S."
"Admiralty","gentoo penguin","1991-2012",22,-0.0025,"N.S."
"Aiktak","ancient murrelet","1997-2017",21,0.0123,"*"
"Aiktak","common murre","1995-2017",23,-0.0083,"N.S."
"Aiktak","double-crested cormorant","1999-2017",18,-0.014,"N.S."
"Aiktak","fork-tailed storm-petrel","1995-2017",18,-0.0025,"N.S."
"Aiktak","horned puffin","1996-2017",18,0.0146,"N.S."
"Aiktak","Leach's storm-petrel","1995-2017",18,0.0011,"N.S."
"Aiktak","pelagic cormorant","1995-2017",20,-0.0388,"N.S."
"Aiktak","red-faced cormorant","1995-2017",21,0.0118,"N.S."
"Aiktak","thick-billed murre","1995-2017",22,-0.0127,"N.S."
"Aiktak","tufted puffin","1995-2017",22,0.0094,"N.S."
"Alcatraz","Brandt's cormorant","1995-2017",23,-0.0269,"N.S."
"Amsterdam","Amsterdam albatross","1981-2018",38,-0.0046,"*"
"Anacapa","brown pelican","1969-2016",38,0.0056,"N.S."
"Antipodes","Antipodean wandering albatross","1994-2018",23,-0.0044,"N.S."
"Bird","gentoo penguin","1982-2013",32,0.0086,"N.S."
"Bird","macaroni penguin","1982-2013",32,0.0093,"***"
"Buldir","black-legged kittiwake","1988-2017",30,8e-04,"N.S."
"Buldir","common murre","1989-2017",27,-0.0129,"N.S."
"Buldir","crested auklet","1988-2017",29,0.0038,"N.S."
"Buldir","fork-tailed storm-petrel","1974-2017",31,0.0019,"N.S."
"Buldir","glaucous-winged gull","1997-2017",18,0.016,"N.S."
"Buldir","horned puffin","1988-2017",30,0.0036,"N.S."
"Buldir","Leach's storm-petrel","1974-2017",31,0.0083,"***"
"Buldir","least auklet","1988-2017",29,0.0075,"*"
"Buldir","parakeet auklet","1991-2017",26,-0.0022,"N.S."
"Buldir","pelagic cormorant","1990-2014",24,-0.0031,"N.S."
"Buldir","red-legged kittiwake","1988-2017",30,0.0022,"N.S."
"Buldir","thick-billed murre","1988-2017",30,-0.0075,"***"
"Buldir","tufted puffin","1988-2017",30,-0.0017,"N.S."
"Buldir","whiskered auklet","1988-2017",29,0.0045,"N.S."
"Cape Lisburne","black-legged kittiwake","1976-2017",34,-0.0131,"N.S."
"Cape Peirce","black-legged kittiwake","1990-2014",25,0.0075,"N.S."
"Cape Peirce","common murre","1990-2017",23,-0.0092,"*"
"Chowiet","black-legged kittiwake","1979-2017",22,-0.0034,"N.S."
"Chowiet","common murre","1979-2017",22,-0.0037,"N.S."
"Chowiet","glaucous-winged gull","1998-2017",10,0.027,"N.S."
"Chowiet","parakeet auklet","1998-2017",14,0.0139,"N.S."
"Chowiet","thick-billed murre","1979-2017",22,-0.0046,"N.S."
"Chowiet","tufted puffin","1976-2017",13,0.0028,"N.S."
"Crozet","sooty albatross","1981-2017",37,-0.0073,"**"
"Crozet","wandering albatross","1984-2018",35,0.0014,"N.S."
"Dassen","African penguin","1995-2014",13,-0.0082,"N.S."
"East Amatuli","black-legged kittiwake","1993-2016",22,-0.0243,"*"
"East Amatuli","common murre","1993-2014",17,-0.0085,"*"
"Foula","arctic tern","1971-2017",47,-0.0123,"***"
"Foula","black-legged kittiwake","1971-2017",47,-0.0278,"***"
"Foula","great skua","1971-2017",47,-0.0199,"***"
"Foula","parasitic jaeger","1971-2017",47,-0.0267,"***"
"Hirakimata","black petrel","1998-2017",20,-0.407,"N.S."
"Hornoya","Atlantic puffin","1980-2017",30,-0.0142,"***"
"Hornoya","razorbill","1980-2017",25,-0.0097,"*"
"Ihumoana","grey-faced petrel","1993-2017",25,0.0035,"N.S."
